fra;week;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
FR;2020-S32;86;42;128;9737;3711;13463;90;912580.606272853
FR;2020-S32;6019;5847;11918;319931;287620;609006;0;67114995
FR;2020-S33;298;294;599;11180;12542;24091;09;7763205.6862729
FR;2020-S33;1046;867;1926;30640;30977;62061;19;8336486.16053724
FR;2020-S33;2577;2703;5283;64708;56690;121565;29;7476787.18780411
FR;2020-S33;1431;1688;3119;52913;48602;101601;39;8295371.93193955
FR;2020-S33;1126;1158;2286;44370;40411;84842;49;8592886.15993015
FR;2020-S33;907;968;1875;41992;37472;79518;59;8792674.76801071
FR;2020-S33;548;520;1068;31998;31538;63578;69;8004082.76030424
FR;2020-S33;309;344;654;22915;23671;46617;79;5695639.13079729
FR;2020-S33;200;157;357;18389;13107;31519;89;3245280.60813097
FR;2020-S33;108;36;144;10690;3828;14526;90;912580.606272853
FR;2020-S33;8551;8736;17323;329875;299005;630243;0;67114995
FR;2020-S34;414;400;828;12884;14540;27873;09;7763205.6862729
FR;2020-S34;1617;1488;3117;41308;43206;85137;19;8336486.16053724
FR;2020-S34;4532;5014;9556;92204;82024;174471;29;7476787.18780411
FR;2020-S34;2355;2752;5110;71316;65053;136524;39;8295371.93193955
FR;2020-S34;1697;1812;3512;62468;54800;117363;49;8592886.15993015
FR;2020-S34;1461;1428;2891;59635;50399;110110;59;8792674.76801071
FR;2020-S34;831;867;1701;41704;40512;82279;69;8004082.76030424
FR;2020-S34;360;429;789;28692;28942;57671;79;5695639.13079729
FR;2020-S34;241;194;437;21948;15542;37526;89;3245280.60813097
FR;2020-S34;140;42;182;12861;4447;17325;90;912580.606272853
FR;2020-S34;13653;14430;28140;445195;399715;846763;0;67114995
FR;2020-S35;611;611;1250;15652;17434;33713;09;7763205.6862729
FR;2020-S35;2469;2233;4732;51106;51519;103565;19;8336486.16053724
FR;2020-S35;6581;6685;13285;115507;98017;213889;29;7476787.18780411
FR;2020-S35;3441;3741;7194;93189;77660;171104;39;8295371.93193955
FR;2020-S35;2467;2346;4824;83237;65636;149075;49;8592886.15993015
FR;2020-S35;2131;1925;4065;78815;62350;141362;59;8792674.76801071
FR;2020-S35;1182;1162;2346;51527;47770;99432;69;8004082.76030424
FR;2020-S35;595;608;1206;34312;33847;68226;79;5695639.13079729
FR;2020-S35;376;253;631;25589;17618;43262;89;3245280.60813097
FR;2020-S35;214;58;272;15240;5105;20379;90;912580.606272853
FR;2020-S35;20076;19632;39852;564359;477244;1044677;0;67114995
FR;2020-S36;925;966;1936;21931;24247;47195;09;7763205.6862729
FR;2020-S36;3594;3252;6909;50838;52079;104002;19;8336486.16053724
FR;2020-S36;7880;8114;16042;127386;105741;233613;29;7476787.18780411
FR;2020-S36;4549;4645;9213;104639;85749;190677;39;8295371.93193955
FR;2020-S36;3478;3130;6627;89483;71848;161592;49;8592886.15993015
FR;2020-S36;2998;2608;5615;84192;66705;151145;59;8792674.76801071
FR;2020-S36;1689;1667;3369;57276;52586;110106;69;8004082.76030424
FR;2020-S36;791;862;1656;37299;36711;74112;79;5695639.13079729
FR;2020-S36;574;413;990;27280;18682;46012;89;3245280.60813097
FR;2020-S36;325;112;438;15742;5277;21048;90;912580.606272853
FR;2020-S36;26819;25777;52826;616279;519854;1139987;0;67114995
FR;2020-S37;1477;1464;3011;58659;63883;125168;09;7763205.6862729
FR;2020-S37;4455;4531;9101;80717;81652;164311;19;8336486.16053724
FR;2020-S37;8736;8679;17461;134976;106473;241944;29;7476787.18780411
FR;2020-S37;5353;4841;10221;128416;97390;226184;39;8295371.93193955
FR;2020-S37;4578;3930;8528;101196;79184;180716;49;8592886.15993015
FR;2020-S37;3999;3491;7507;86010;67834;154087;59;8792674.76801071
FR;2020-S37;2136;2084;4237;56010;52868;109082;69;8004082.76030424
FR;2020-S37;1176;1158;2337;36933;36709;73750;79;5695639.13079729
FR;2020-S37;841;612;1458;29791;19925;49788;89;3245280.60813097
FR;2020-S37;607;191;798;18198;5923;24157;90;912580.606272853
FR;2020-S37;33372;30990;64690;731105;612083;1349679;0;67114995
FR;2020-S38;1275;1445;2775;46323;50979;99519;09;7763205.6862729
FR;2020-S38;5724;5752;11606;108876;110368;222153;19;8336486.16053724
FR;2020-S38;9974;9853;19865;136881;107725;245062;29;7476787.18780411
FR;2020-S38;6266;5509;11805;126122;94542;220998;39;8295371.93193955
FR;2020-S38;5425;4618;10067;104277;79822;184357;49;8592886.15993015
FR;2020-S38;4654;4059;8729;85943;66532;152677;59;8792674.76801071
FR;2020-S38;2611;2577;5204;55884;52289;108374;69;8004082.76030424
FR;2020-S38;1426;1443;2872;36916;36762;73766;79;5695639.13079729
FR;2020-S38;1102;757;1861;30799;20467;51371;89;3245280.60813097
FR;2020-S38;707;241;948;19757;6460;26309;90;912580.606272853
FR;2020-S38;39182;36274;75790;751971;626215;1385114;0;67114995
FR;2020-S39;864;914;1813;18914;21825;41580;09;7763205.6862729
FR;2020-S39;5384;5347;10841;89443;90233;181655;19;8336486.16053724
FR;2020-S39;9976;9527;19536;124503;99154;224047;29;7476787.18780411
FR;2020-S39;6112;5511;11633;98189;78250;176639;39;8295371.93193955
FR;2020-S39;5316;4566;9890;85883;68935;155002;49;8592886.15993015
FR;2020-S39;4763;4211;8981;77831;62804;140810;59;8792674.76801071
FR;2020-S39;2763;2702;5470;52072;49872;102065;69;8004082.76030424
FR;2020-S39;1503;1604;3111;35643;36069;71785;79;5695639.13079729
FR;2020-S39;1110;792;1906;30337;20149;50544;89;3245280.60813097
FR;2020-S39;640;220;862;19275;6337;25669;90;912580.606272853
FR;2020-S39;38453;35421;74109;632320;533913;1170373;0;67114995
FR;2020-S40;838;843;1732;13366;15309;29294;09;7763205.6862729
FR;2020-S40;5431;5391;10965;77929;78109;157716;19;8336486.16053724
FR;2020-S40;10096;9593;19728;116894;94617;211964;29;7476787.18780411
FR;2020-S40;6804;5978;12795;90694;74725;165593;39;8295371.93193955
FR;2020-S40;6177;5292;11483;79949;64898;144984;49;8592886.15993015
FR;2020-S40;5355;4811;10180;74488;62069;136683;59;8792674.76801071
FR;2020-S40;3118;3016;6151;51432;50812;102381;69;8004082.76030424
FR;2020-S40;1776;1837;3618;35242;35866;71173;79;5695639.13079729
FR;2020-S40;1254;858;2115;30558;20455;51059;89;3245280.60813097
FR;2020-S40;813;290;1107;20452;6723;27408;90;912580.606272853
FR;2020-S40;41678;37928;79925;591270;503936;1098918;0;67114995
FR;2020-S41;1311;1414;2803;15977;17970;34720;09;7763205.6862729
FR;2020-S41;7783;7943;15922;89736;90809;182729;19;8336486.16053724
FR;2020-S41;14101;12701;26853;130540;105384;236324;29;7476787.18780411
FR;2020-S41;10746;9592;20370;107912;87931;196051;39;8295371.93193955
FR;2020-S41;10059;8667;18754;95649;78056;173874;49;8592886.15993015
FR;2020-S41;8695;7973;16692;87252;71752;159146;59;8792674.76801071
FR;2020-S41;5296;5053;10377;59196;57573;116977;69;8004082.76030424
FR;2020-S41;2882;2885;5770;39104;39361;78508;79;5695639.13079729
FR;2020-S41;2155;1483;3640;33782;22211;56033;89;3245280.60813097
FR;2020-S41;1338;408;1747;22276;6961;29269;90;912580.606272853
FR;2020-S41;64381;58145;122989;681650;578306;1264216;0;67114995
FR;2020-S42;1841;1930;3876;21689;24460;47281;09;7763205.6862729
FR;2020-S42;10768;10653;21711;118049;118616;239744;19;8336486.16053724
FR;2020-S42;18051;15563;33656;158127;124537;283087;29;7476787.18780411
FR;2020-S42;15516;13122;28685;142318;110508;253073;39;8295371.93193955
FR;2020-S42;14717;12561;27318;130427;102826;233462;49;8592886.15993015
FR;2020-S42;12914;11601;24544;111918;90301;202377;59;8792674.76801071
FR;2020-S42;8233;7980;16270;72783;68418;141730;69;8004082.76030424
FR;2020-S42;4579;4658;9241;45673;45099;90811;79;5695639.13079729
FR;2020-S42;3715;2440;6156;41241;25798;67075;89;3245280.60813097
FR;2020-S42;2480;752;3233;29556;9056;38653;90;912580.606272853
FR;2020-S42;92844;81289;174764;872026;719960;1597926;0;67114995
FR;2020-S43;2546;2589;5249;23994;26747;51872;09;7763205.6862729
FR;2020-S43;13760;13373;27511;109527;104580;216817;19;8336486.16053724
FR;2020-S43;27265;23148;50514;195898;152759;349284;29;7476787.18780411
FR;2020-S43;24774;20861;45676;172961;136533;309787;39;8295371.93193955
FR;2020-S43;23457;20326;43831;158342;125183;283786;49;8592886.15993015
FR;2020-S43;21495;19148;40685;142905;111825;254965;59;8792674.76801071
FR;2020-S43;13708;13282;27043;88699;82902;172017;69;8004082.76030424
FR;2020-S43;8243;8072;16325;55516;52871;108467;79;5695639.13079729
FR;2020-S43;7287;4539;11835;53771;31398;85250;89;3245280.60813097
FR;2020-S43;5000;1622;6631;40966;11670;52716;90;912580.606272853
FR;2020-S43;147582;127015;275416;1042884;836822;1885661;0;67114995
FR;2020-S44;3512;3640;7350;26389;29410;57115;09;7763205.6862729
FR;2020-S44;17977;17073;35549;108617;102001;213282;19;8336486.16053724
FR;2020-S44;30163;24760;55025;209707;162908;373235;29;7476787.18780411
FR;2020-S44;29311;24141;53527;192701;153449;346497;39;8295371.93193955
FR;2020-S44;29040;23905;53011;176545;139994;316848;49;8592886.15993015
FR;2020-S44;26702;23803;50554;170047;132353;302658;59;8792674.76801071
FR;2020-S44;18072;16985;35139;110732;100720;211975;69;8004082.76030424
FR;2020-S44;11045;10743;21815;68815;64880;133810;79;5695639.13079729
FR;2020-S44;9186;5963;15157;66551;37895;104529;89;3245280.60813097
FR;2020-S44;6027;1943;7979;51807;14186;66056;90;912580.606272853
FR;2020-S44;181094;153020;335286;1182255;938231;2126866;0;67114995
FR;2020-S45;4176;4481;8860;31452;34026;66828;09;7763205.6862729
FR;2020-S45;18130;17897;36526;118357;114574;235724;19;8336486.16053724
FR;2020-S45;23149;19042;42272;177182;135654;313412;29;7476787.18780411
FR;2020-S45;23998;18921;42981;178401;136130;314857;39;8295371.93193955
FR;2020-S45;23918;19852;43831;170993;131883;303245;49;8592886.15993015
FR;2020-S45;22715;20740;43504;164887;128683;293902;59;8792674.76801071
FR;2020-S45;16068;15289;31430;108504;99283;208319;69;8004082.76030424
FR;2020-S45;10627;10123;20770;71350;66164;137632;79;5695639.13079729
FR;2020-S45;9241;5872;15136;74798;40684;115656;89;3245280.60813097
FR;2020-S45;6150;2015;8174;60761;16240;77110;90;912580.606272853
FR;2020-S45;158226;134293;293652;1157029;903689;2067479;0;67114995
FR;2020-S46;2784;2838;5744;24839;27146;53016;09;7763205.6862729
FR;2020-S46;10850;10613;21736;103061;99351;204799;19;8336486.16053724
FR;2020-S46;12305;9732;22086;121884;88697;211068;29;7476787.18780411
FR;2020-S46;12766;9936;22724;129359;93650;223259;39;8295371.93193955
FR;2020-S46;13353;10649;24031;128119;95253;223616;49;8592886.15993015
FR;2020-S46;13100;11334;24466;122827;94368;217451;59;8792674.76801071
FR;2020-S46;8806;8497;17355;79111;74174;153692;69;8004082.76030424
FR;2020-S46;6349;6206;12564;57375;53913;111388;79;5695639.13079729
FR;2020-S46;7326;4276;11615;67764;35922;103765;89;3245280.60813097
FR;2020-S46;5529;1681;7219;56602;14976;71661;90;912580.606272853
FR;2020-S46;93209;75800;169644;891215;677745;1574347;0;67114995
FR;2020-S47;2009;2144;4284;21596;24052;46571;09;7763205.6862729
FR;2020-S47;7214;7262;14643;85657;83178;170789;19;8336486.16053724
FR;2020-S47;8036;6309;14386;105169;75303;180909;29;7476787.18780411
FR;2020-S47;8623;6490;15132;114714;80845;195787;39;8295371.93193955
FR;2020-S47;9048;7060;16126;110606;80757;191592;49;8592886.15993015
FR;2020-S47;8287;7148;15461;105662;79965;185840;59;8792674.76801071
FR;2020-S47;5203;5091;10330;69666;65591;135542;69;8004082.76030424
FR;2020-S47;3876;3706;7591;52798;51042;103931;79;5695639.13079729
FR;2020-S47;5202;2934;8147;61675;34045;95821;89;3245280.60813097
FR;2020-S47;4203;1218;5425;50879;13669;64635;90;912580.606272853
FR;2020-S47;61755;49406;111741;778664;588757;1372187;0;67114995
FR;2020-S48;1284;1330;2669;17303;19231;37203;09;7763205.6862729
FR;2020-S48;4813;4687;9612;65396;64209;130989;19;8336486.16053724
FR;2020-S48;5658;4279;9962;92438;66130;159023;29;7476787.18780411
FR;2020-S48;6088;4484;10592;100836;71228;172336;39;8295371.93193955
FR;2020-S48;6235;4827;11088;93720;70017;163997;49;8592886.15993015
FR;2020-S48;5818;4817;10656;92731;69750;162720;59;8792674.76801071
FR;2020-S48;3385;3243;6645;64468;61377;126145;69;8004082.76030424
FR;2020-S48;2671;2542;5218;49469;48480;98056;79;5695639.13079729
FR;2020-S48;3964;2113;6089;54943;31435;86462;89;3245280.60813097
FR;2020-S48;3284;981;4270;44349;12135;56535;90;912580.606272853
FR;2020-S48;43214;33320;76838;675830;514209;1193889;0;67114995
FR;2020-S49;1151;1334;2545;15003;16831;32467;09;7763205.6862729
FR;2020-S49;4149;4074;8323;55565;54955;111592;19;8336486.16053724
